"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"바오로교실보호작업장","C1078","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조성애","1138000000","은평구","서울특별시 은평구 증산로5길 7 (증산동)","30","29","02-306-5180","03500"
"열림일터","C1081","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","황길자","1150000000","강서구","서울특별시 강서구 까치산로 136","40","43","02-2602-3199","07662"
"아람마을","C1090","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조두현","1135000000","노원구","서울특별시 노원구 월계로 338-16","30","30","02-909-4604","01885"
"은평구립직업재활센터","C1110","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박재형","1138000000","은평구","서울특별시 은평구 녹번로1길 131층 (녹번동)(녹번동)","22","30","02-384-1320","03380"
"파란마음복지센터","C1147","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","한호택","1174000000","강동구","서울특별시 강동구 진황도로 100하이브 313호~316호","0","31","02-487-4548","05355"
"함께사는세상","C1172","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박진규","1162000000","관악구","서울특별시 관악구 국회단지길 671층","30","25","02-876-2842","08713"
"해피워크","C1245","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정덕기","1129000000","성북구","서울특별시 성북구 오패산로 21-04층","30","29","02-918-9190","02738"
"아이티어빌리티센터","C1255","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김목겸","1174000000","강동구","서울특별시 강동구 고덕로 106301호 (암사동)","0","26","02-470-1374","05255"
"강동그린나래복지센터","C1372","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","석진택","1174000000","강동구","서울특별시 강동구 고덕로 100-5(암사동)","0","29","070-4837-4550","05255"
"나자로의집보호작업장","C1427","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김용주","1162000000","관악구","서울특별시 관악구 남부순환로194길 811층","25","29","02-887-3629","08780"
"실로암장애인근로사업장","C1439","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","최동익","1162000000","관악구","서울특별시 관악구 남부순환로 1717 (봉천동)","105","78","02-880-0580","08757"
"성분도보호작업장","C1448","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최용근","1174000000","강동구","경기도 광주시 국사봉로 159-10","0","31","031-799-0339","12814"
"에스알씨(SRC)직업재활센터","C1461","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","남광우","1162000000","관악구","경기도 성남시 중원구 둔촌대로 545-0한라시그마밸리 1006호, 1007호","","36","031-786-6876","13215"
"성모자애보호작업장","C1570","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이상철","1168000000","강남구","서울특별시 강남구 헌릉로757길 35","36","35","02-445-3377","06378"
"동작구립장애인보호작업장","C1583","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이민규","1159000000","동작구","서울특별시 동작구 등용로12길 57동작구립장애인보호작업장","35","42","02-812-7178","06932"
"성모보호작업장","C1589","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","방영희","1120000000","성동구","서울특별시 성동구 금호산9가길 57-10","42","42","02-2238-5881","04723"
"성동보호작업장","C1590","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박봉수","1120000000","성동구","서울특별시 성동구 청계천로 506-0성동장애인종합복지관 1층","30","30","02-2290-3100","04704"
"광진장애인보호작업장","C1607","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","진은숙","1121500000","광진구","서울특별시 광진구 동일로80길 20","32","31","02-468-4376","04901"
"정립장애인보호작업장","C1620","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","윤인애","1121500000","광진구","서울특별시 광진구 워커힐로 93정립회관 체육관 1층","30","26","02-454-5505","04958"
"정립전자","C1621","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","이대근","1121500000","광진구","서울특별시 광진구 워커힐로 93정립전자","300","83","02-446-6867","04958"
"사랑의일터","C1675","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박지웅","1165000000","서초구","서울특별시 서초구 효령로55길 287층 (서초동)","32","26","02-3477-5111","06654"
"구로구립장애인보호작업장","C1685","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이성미","1153000000","구로구","서울특별시 구로구 경인로 21 (온수동)","54","54","02-2689-8791","08263"
"서울남부보호작업장","C1692","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김춘만","1159000000","동작구","서울특별시 동작구 여의대방로20길 33 (신대방동)","43","39","02-829-7191","07062"
"번동보호작업장","C1698","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이승호","1130500000","강북구","서울특별시 강북구 한천로 115길 20501동(번동, 주공)","35","39","02-987-8337","01137"
"연화직업재활원","C1712","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","강민석","1171000000","송파구","서울특별시 송파구 가락로 865층","20","16","02-2202-5831","05696"
"비둘기직업적응훈련센터","C1745","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","최금란","1111000000","종로구","서울특별시 종로구 동숭4길 28 (동숭동)","","31","02-743-9026","03085"
"(사)대한안마사협회부설안마수련원","C1753","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","나응문","1165000000","서초구","서울특별시 서초구 서초중앙로22길 105  ","71","59","025846363","06631"
"문혜장애인보호작업장","C1776","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조성재","1111000000","종로구","강원도 철원군 텃골1길 13(문혜리)","35","28","033-452-6164","269804"
"보호작업장 인강원","C1802","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이승헌","1132000000","도봉구","서울특별시 도봉구 평화로15번길 9-25(도봉동)","25","14","02-3493-0520","01301"
"충현보호작업장","C1855","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김성한","1168000000","강남구","서울특별시 강남구 논현로98길 16","45","45","02-2192-0680","06140"
"라파엘직업재활센터","C1870","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","양선용","1168000000","강남구","경기도 여주시 강천면 원양1로 907 ","40","40","031-886-4840","12617"
"그라나다보호작업센터","C2050","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김회경","1150000000","강서구","서울특별시 강서구 허준로5길 37 (가양동)","46","44","02-3661-3402","07524"
"기쁜우리보호작업장","C2059","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조진화","1150000000","강서구","서울특별시 강서구 허준로 65 (가양동)","30","33","02-3665-0866","07524"
"강서구휴먼희망일터","C2066","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박대현","1150000000","강서구","서울특별시 강서구 강서로 466우리벤처타운 102호 (등촌동)","30","23","070-7731-3620","07573"
"리드릭","C2073","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김정열","1156000000","영등포구","서울특별시 영등포구 양산로 96양산로 96, 산경물산(당산동2가)","54","51","02-3667-4945","07264"
"마포구립장애인직업재활센터(수아밀)","C2074","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","하강택","1144000000","마포구","서울특별시 마포구 매봉산로 18(상암동 1640번지)","20","31","02-302-0392","03911"
"똘레랑스","C2199","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","류성걸","1138000000","은평구","서울특별시 은평구 연서로21길 31-0","24","25","02-352-2477","03335"
"서울장애인종합복지관보호작업장","C5161","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김희정","1174000000","강동구","서울특별시 강동구 고덕로 201(고덕동)","0","30","0244405880","05235"
"해나무일터","C6557","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조은정","1153000000","구로구","서울특별시 구로구 남부순환로 105라길25-10","30","31","070-4423-6147","08388"
"도봉장애인보호작업시설","C7581","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이동민","1132000000","도봉구","서울특별시 도봉구 마들로 664-172층","30","19","02-955-9427","01330"
"마라보호작업장","C7584","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정문영","1171000000","송파구","서울특별시 송파구 송이로34길 43-1","20","22","02-3401-6040","05802"
"성지보호작업장","C7594","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","허명옥","1174000000","강동구","서울특별시 강동구 동남로85길 15(고덕동)","0","24","02-481-8666","05226"
"아이비장애인보호작업장","C7598","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","은홍수","1174000000","강동구","서울특별시 강동구 구천면로39길 121층, 지하1층 (천호동)(천호동)","0","30","02-484-3825","05320"
"은평보호작업장","C7603","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","강태길","1138000000","은평구","서울특별시 은평구 갈현로11길 30","30","21","02-388-2363","03428"
"하은장애인보호작업장","C7614","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","임채감","1147000000","양천구","서울특별시 양천구 목동동로8길 95층 (신정동)","30","30","02-2654-0725","08014"
"EM실천","C7618","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김영환","1154500000","금천구","서울특별시 금천구 서부샛길 648대륭테크노타운6차 1004호","30","30","02-875-9744","08504"
"효명장애인보호작업시설","C7713","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","나병택","1171000000","송파구","서울특별시 송파구 올림픽로 269롯데캐슬프라자 810호,811호,812호","12","19","02-6415-1000","05510"
"선한복지센터","C7834","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김현","1174000000","강동구","서울특별시 강동구 양재대로91길 62(성내동, 동아아파트상가4층)","0","28","02-470-2301","05403"
"구립강서구직업재활센터","C7913","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","유기학","1150000000","강서구","서울특별시 강서구 허준로 95-9외 1번지 (가양동)","70","65","02-3661-0362","07525"
"서울시립미래형장애인직업재활시설그린내","C7928","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","기화서","1141000000","서대문구","서울특별시 서대문구 명지2길 14-0(홍은동)","56","58","02-303-4520","03656"
"희망일터","C7989","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김동현","1121500000","광진구","서울특별시 광진구 천호대로 622 (능동)","30","28","02-457-4385","04987"
"서울시립미래형장애인직업재활시설굿윌스토어","C7995","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","박경호","1171000000","송파구","서울특별시 송파구 마천로 226지하1층~지상2층","70","53","02-6913-9100","05737"
"빛가람장애인시설","C8019","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최인권","1138000000","은평구","서울특별시 은평구 대서문길 36지하 1층 (진관동)","20","28","070-4601-2421","03307"
"구립송파구장애인보호작업장","C8031","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최은정","1171000000","송파구","서울특별시 송파구 양산로 53층","20","20","02-400-6503","05771"
"보라매보호작업장","C8077","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박형진","1154500000","금천구","서울특별시 금천구 가산디지털2로 136승일벤처타워302","0","34","07044189277","08503"
"드림장애인보호작업장","C8091","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","조순복","1147000000","양천구","서울특별시 양천구 지양로 7 (신월동)","40","21","0226943338","08044"
"행복한나무","C8099","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","서진원","1156000000","영등포구","서울특별시 영등포구 양산로 96 양산로 96, 산경물산 A30호(당산동2가)","20","20","02-6929-3903","07264"
"갑을장애인직업휴먼센터","C8102","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","임영의","1162000000","관악구","서울특별시 관악구 난우16길 13-7 (신림동)","26","30","02-864-8585","08850"
"우리마포보호작업장","C8104","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","변성환","1144000000","마포구","서울특별시 마포구 신촌로26길 10우리마포보호작업장","19","20","02-359-1000","04103"
"송파위더스","C8106","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박세향","1171000000","송파구","서울특별시 송파구 성내천로 333-4333-4 (마천동)","30","18","02-407-1991","05762"
"효정","C8181","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","천성애","1130500000","강북구","서울특별시 강북구 삼양로77길 38(수유동)","30","39","02-989-3148","01102"
"다사랑(대한정신보건가족협회)","C8186","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","권기옥","1150000000","강서구","서울특별시 강서구 개화동로7길 3-16","30","29","07077929300","07503"
"초록등대장애인보호작업장","C8197","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","고용채","1150000000","강서구","서울특별시 강서구 송정로1길 19베이스빌딩, 2층 (공항동)","36","29","02-2603-2683","07627"
"강서나누리센터","C8212","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","윤보라","1150000000","강서구","서울특별시 강서구 공항대로7가길 21-3","20","30","070-8715-3650","07618"
"함재보호작업장","C8258","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","강미랑","1171000000","송파구","서울특별시 송파구 송파대로 4121,2,4층 (송파동)","25","17","07043331950","05667"
"사회복지법인 에덴복지재단 형원","C8280","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","황태성","1153000000","구로구","경기도 파주시 소라지로195번길47-20 (신촌동)","50","38","070-4786-3003","10863"
"늘푸름보호작업장","C8328","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","안성기","1153000000","구로구","서울특별시 구로구 부일로1나길38(온수동)","40","37","02-374-6091","08262"
"희망일굼터","C8367","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","한상명","1147000000","양천구","서울특별시 양천구 신정로267 (신정동, 양천벤처타운 제804호, B205호))","40","34","070-8913-2465","08079"
"중증장애인다수고용사업장굿윌스토어밀알도봉점","C8381","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","박정열","1132000000","도봉구","서울특별시 도봉구 마들로 664-17","100","45","0269109104","132822"
"금천구립장애인보호작업장","C8400","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김정석","1154500000","금천구","서울특별시 금천구 한내로 69-15금천한내복지관내 (독산동, 주공13단지아파트)","32","32","028979747","08598"
"동문엔터프라이즈","C8404","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박은옥","1123000000","동대문구","서울특별시 동대문구 한천로 58-22층, 3층 (장안동)","30","25","02-2216-2232","02631"
"강서구희망센터","C8410","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","나치웅","1150000000","강서구","서울특별시 강서구 화곡로31길 25지층(화곡동), 서울특별시 강서구 강서로 34길 36 (화곡동)","34","38","02-2696-3113","07700"
"빛나눔보호작업장","C8435","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","홍영호","1138000000","은평구","서울특별시 은평구 수색로 390-29 (수색동)","23","31","02-309-7480","03486"
"밀알그린보호작업장","C8482","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","유혜현","1168000000","강남구","서울특별시 강남구 밤고개로1길 341층 101호 (수서동)","25","21","0234118300","06349"
"공감보호작업장","C8676","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김기진","1120000000","성동구","서울특별시 성동구 아차산로144, B101호, B103호(성수동2가, 우영테크노센터)","20","20","02-3409-8270","04783"
"행복플러스보호작업장","C8688","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정재호","1129000000","성북구","서울특별시 성북구 화랑로134 (하월곡동2-2)","35","38","02-6959-8100","02793"
"장애인내일키움직업교육센터","C8696","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","윤연옥","1141000000","서대문구","서울특별시 서대문구 연희로33가길6-15 (연희동)","30","30","02-323-0080","03661"
"오뚜기직업재활센터","C8708","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","황철희","1156000000","영등포구","서울특별시 영등포구 영신로40길16, 2층 (영등포동6가)","65","59","02-2677-8008","07251"
"소망드림복지센터","C8742","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최병석","1174000000","강동구","서울특별시 강동구 양재대로116길 202층 (길동)","0","20","024262577","05351"
"행복을파는장사꾼","C8782","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김완수","1150000000","강서구","서울특별시 강서구 까치산로 134 (화곡동)","30","31","0220651591","07662"
"꿈드래장애인일자리센터","C8920","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","전영열","1123000000","동대문구","서울특별시 동대문구 장한로28가길 70 (장안동)","30","13","029287114","02523"
"마포푸르메직업재활센터","C8930","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김재일","1144000000","마포구","서울특별시 마포구 월드컵북로 494-0 (상암동)494-0(상암동) 49","20","35","0260709290","03918"
"래그랜느보호작업장","C8933","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","이한수","1168000000","강남구","서울특별시 강남구 양재대로55길13 (일원동) 지하1층","10","11","02-445-0919","135660"
"행복 보호작업장","C8952","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","백원강","1171000000","송파구","서울특별시 송파구 성내천로 271217, 1층 (마천동)","20","18","02-448-9700","05749"
"SG블루웰","C8980","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","박진효","1154500000","금천구","서울특별시 금천구 두산로 70-0 (독산동)70, B동 4층 436호 (독산동, 현대지식산업센터)","0","31","02-6912-8080","08584"
"소울터보호작업장","C8991","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김미선","1154500000","금천구","서울특별시 금천구 범안로1138, 603호 (가산동, 고려테크온)","0","19","028384567","08595"
"한우리보호작업장","C9088","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정영수","1165000000","서초구","서울특별시 서초구 남부순환로340길 15 (서초동)","20","20","070-7209-2925","137604"
"늘품 장애인 보호작업장","C9089","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김원배","1141000000","서대문구","서울특별시 서대문구 홍은중앙로 105-0 (홍은동)105, 2층 (홍은동)","18","18","02-379-1127","03602"
"참행복한세상","C9187","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정일영","1150000000","강서구","서울특별시 강서구 강서로 462대룡드림타워-1, 2층 208호 (등촌동)","30","10","0226580700","07573"
"베데스다직업적응훈련시설","C9190","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","이현숙","1135000000","노원구","서울특별시 노원구 공릉로58마길 27 (하계동)","20","21","07043662075","139600"
"송파구장애인직업재활지원센터","C9247","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","김성태","1171000000","송파구","서울특별시 송파구 양산로 5, 3층 (거여동)","20","20","024006510","138600"
"더원직업훈련센터","C9266","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","홍성훈","1123000000","동대문구","서울특별시 동대문구 장한로 25602호 (장안동)","20","20","0263681515","02636"
"직업재능개발센터","C9325","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","윤석진","1174000000","강동구","서울특별시 강동구 올림픽로588, 3층 (성내동)","20","25","0269339940","05385"
"한결엠보호작업장","C9337","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","오용식","1154500000","금천구","서울특별시 금천구 가산디지털1로 131, B206호 (가산동, BYC하이시티지식산업센터)","10","10","02-6952-0551","08506"
"블루나래","C9357","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","정재이","1153000000","구로구","서울특별시 구로구 디지털로 272, 12층 17호 (구로동, 한신아이티타워)","10","13","02-867-9566","08389"
"두손장애인보호작업장","C9360","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김한근","1171000000","송파구","서울특별시 송파구 동남로6길 34-1, 1층 (문정동)","13","","07087299567","05803"
"모두누리 직업재활센터","C9387","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김성훈","1153000000","구로구","서울특별시 구로구 디지털로27길 24506호(벽산디지털밸리 1차) (구로동)","20","24","02-868-8295","08381"
"기쁨나무","C9388","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","배희","1154500000","금천구","서울특별시 금천구 시흥대로80길 19 (독산동)","20","17","02-893-9630","08623"
"서울특별시립장애인영농직업재활시설","C9434","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","장경언","1100000000","서울특별시","경기도 남양주시 진접읍 양진로725","20","15","0315724025","12073"
"강남세움보호작업장","C9499","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","안정희","1168000000","강남구","서울특별시 강남구 광평로60길22, 2층 (수서동)","85","76","0221848702","06369"
"두빛나래보호작업장","C9506","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","황은미","1120000000","성동구","서울특별시 성동구 성수일로 10 (성수동1가, 서울숲ITCT지식산업센터 B201호)","10","10","0262388823","04780"
"강남세움근로사업장 굿윌스토어","C9567","(장애인) 장애인근로사업장","장애인직업재활시설","자치구","김우식","1168000000","강남구","서울특별시 강남구 광평로60길 22, 1층, 3층층 (수서동, 강남세움장애인통합지원센터)","40","","0221848784","06369"
"강남세움 직업훈련센터","C9571","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","오혜정","1168000000","강남구","서울특별시 강남구 광평로60길 22, 3층 (수서동, 강남세움장애인통합지원센터)","30","","01023159548","06369"
"사랑손직업적응훈련시설","C9595","(장애인) 장애인직업적응훈련시설","장애인직업재활시설","자치구","김정영","1159000000","동작구","서울특별시 동작구 사당로 90, 상가동 (사당동, 1~2층)","35","","0234772602","07029"
"두리하나다울","C9597","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김미희","1153000000","구로구","서울특별시 구로구 경인로53길 90, 5층 511호 (구로동, STX W-Tower)","20","9","02-2681-1399","08215"
"누보","C9653","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","최성철","1114000000","중구","서울특별시 중구 충무로29, 402호, 403호 (초동, 아시아미디어타워)","20","","0222735553","04555"
"소담","C9684","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","윤서영","1126000000","중랑구","서울특별시 중랑구 상봉로 69, 5층 (면목동)","15","","024337152","02157"
"스프링샤인","C9795","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","김종수","1138000000","은평구","서울특별시 은평구 갈현로11길 30 (구산동)","20","12","07048965468","03428"
"소담","C9834","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","윤서영","1126000000","중랑구","서울특별시 중랑구 상봉로69 (면목동, 한솔빌딩 5층)","15","","024337152","02157"
"다은보호작업장","C9881","(장애인) 장애인보호작업장","장애인직업재활시설","자치구","성원석","1138000000","은평구","서울특별시 은평구 통일로71길 8, 지하1층 (대조동)","20","11","01048452503","03391"
