"콘텐츠명
(필수 입력)","주소[구]
(조건부 선택 입력)","상세 제목1
(선택 입력)","상세 내용1
(선택 입력)","상세 제목2
(선택 입력)","상세 내용2
(선택 입력)","상세 제목3
(선택 입력)","상세 내용3
(선택 입력)","상세 제목4
(선택 입력)","상세 내용4
(선택 입력)","상세 제목5
(선택 입력)","상세 내용5
(선택 입력)"
길동 주민센터,강동구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 6,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 미흡설치
수직손잡이 미흡설치
회전식손잡이 미흡설치"
한강로동주민센터,용산구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,해당없음,해당없음
천호1동 주민센터,강동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 9,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
거여2동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 12
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용가능,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
천호2동주민센터,강동구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 19,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상",장애인용 승강기;;;;이용불편,"승강기크기 1.6*1.35m 미만
가로조작반 미설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",해당없음,해당없음
논현2동 주민센터(문화센터),강남구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 43
전용주차대수 - 2
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용가능,"가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 미설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
상일동 주민센터,강동구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 14,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 미흡설치
수직손잡이 설치
회전식손잡이 미흡설치"
고덕1동 주민센터,강동구,해당없음,해당없음,장애인 전용 주차구역;;;;이용불편,"총주차대수 - 8
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 미 확보
안내표지판 설치",해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
왕십리도선동주민센터,성동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 미만
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
미아동주민센터,강북구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 36
전용주차대수 - 3
출입구와 가까운 곳에 설치
크기 미 확보
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",장애인용 승강기;;;;이용가능,"승강기크기 1.6*1.35m 이상
가로조작반 설치
버튼점자 설치
점자블록 설치
음성안내 설치
점멸등 설치",장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
가락1동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 8,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
양재2동주민센터,서초구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 10
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,해당없음,해당없음
송파1동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 10
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
암사1동 주민센터,강동구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 미흡설치
수직손잡이 설치
회전식손잡이 미흡설치"
장지동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 20
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 미만
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 미설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
방이2동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 10
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,해당없음,해당없음
가락본동주민센터,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 10
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
독산1동주민센터분소,금천구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 미설치
이동통로 1.2m 미만
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 미흡설치
수직손잡이 미흡설치
회전식손잡이 미흡설치"
잠실지구대,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 4
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 미설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
교남동 파출소,종로구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
동묘파출소,종로구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
혜화동파출소,종로구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
서래지구대,서초구,해당없음,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 3,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
삼각산 주민센터,강북구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
명일2동 주민센터,강동구,해당없음,해당없음,장애인 전용 주차구역;;;;이용가능,"총주차대수 - 20
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 미만
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
대왕 파출소,강남구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 1,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
휘경파출소,동대문구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분없음",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
금호치안센터,성동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
수유3동지구대,강북구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용가능,총주차대수 - 8,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
가락지구대,송파구,해당없음,해당없음,해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
청회파출소,동대문구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분없음",장애인 전용 주차구역;;;;이용불편,"총주차대수 - 1
전용주차대수 - 1
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
길2동치안센터,강동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
고덕2 치안센터,강동구,해당없음,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
명일지구대,강동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 8,해당없음,해당없음,해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 미만
점자블록 미흡설치
대변기 설치
출입문 사용가능
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
신촌지구대,서대문구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 미만",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 공용 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
천호3 치안센터,강동구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 3,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음
수유2동지구대,강북구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,총주차대수 - 2,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 미만
손잡이 설치",해당없음,해당없음,해당없음,해당없음
마천동우체국,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 4,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,해당없음,해당없음
오금동우체국,송파구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 4,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
한국외국어대학교우체국,동대문구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",해당없음,해당없음,주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상
손잡이 설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
안국우체국,종로구,주출입구 접근로;;;;이용가능,해당없음,장애인 전용 주차구역;;;;이용가능,해당없음,주출입구 높이차이 제거;;;;이용불편,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 미만
손잡이 미흡설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
대변기크기 1.4*1.8m 미만
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 미흡설치"
중랑우체국,중랑구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 87
전용주차대수 - 4",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,장애인용 화장실;;;;이용불편,"대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 미흡설치
수직손잡이 설치
회전식손잡이 미흡설치"
용산구보건소,용산구,주출입구 접근로;;;;이용가능,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,"총주차대수 - 487
전용주차대수 - 15
출입구와 가까운 곳에 설치
크기 확보(3.3*5m)
안내표지판 설치",주출입구 높이차이 제거;;;;이용가능,"단차없음 또는 경사로 1/12이하 설치
유효폭 1.2m 이상",해당없음,해당없음,장애인용 화장실;;;;이용가능,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
성내동우체국,강동구,주출입구 접근로;;;;이용불편,"평탄함
단차없음
유효폭 1.2m 이상
기울기 1/18~1/12이하
보/차도 구분",장애인 전용 주차구역;;;;이용가능,총주차대수 - 6,주출입구 높이차이 제거;;;;이용불편,"경사로 1/12초과 설치
유효폭 1.2m 이상
손잡이 미흡설치",해당없음,해당없음,장애인용 화장실;;;;이용불편,"남,녀 구분 설치
사용여부설비 설치
이동통로 1.2m 이상
바닥단차 2cm 이하
점자블록 미흡설치
대변기 설치
출입문 사용가능
출입문폭 0.8m 이상
양변기 설치
수평손잡이 설치
수직손잡이 설치
회전식손잡이 설치"
